super_bowl,ad_cost
52,5000000
51,5000000
50,5000000
49,4500000
48,4000000
47,4000000
46,3500000
45,3100000
44,2800000
43,3000000
42,2699963
41,2385365
40,2500000
39,2400000
38,2302200
37,2200000
36,2200000
35,2200000
34,2100000
33,1600000
32,1291100
31,1200000
30,1085000
29,1150000
28,900000
27,850000
26,850000
25,800000
24,700400
23,675000
22,645000
21,600000
20,550000
19,525000
18,368200
17,400000
16,324300
15,275000
14,222000
13,185000
12,162300
11,125000
10,110000
9,107000
8,103500
7,88100
6,86100
5,72500
4,78200
3,55000
2,54500
